Timestamp_WIB,Flight_IATA,Flight_ICAO,Flight_Number,Airline_IATA,Airline_ICAO,Aircraft_Code,Registration_Number,Transponder_Hex,Airline_Country_Flag,Origin_IATA,Origin_ICAO,Origin_Terminal,Destination_IATA,Destination_ICAO,Destination_Terminal,Latitude,Longitude,Heading_Deg,Altitude_Meters,Altitude_Feet,Ground_Speed_KMH,Ground_Speed_Knots,Vertical_Speed_MS,Vertical_Speed_FPM,Flight_Phase,Is_Ground,Delayed_Minutes,ETA_Timestamp,Updated_Unix_Time,Status
2026-09-25 10:05:29,GA181,GIA181,181,GA,GIA,N/A,PK-GFI,8A0243,ID,KNO,WIMM,N/A,CGK,WIII,N/A,1.060077,101.091662,137.0,10688,35065.6,811,437.9,1,196.8,Cruising,0,0,N/A,1790305418,en-route
2026-09-25 10:05:29,AK431,AXM431,431,AK,AXM,N/A,9M-DAF,75052A,MY,KUL,WMKK,N/A,PKU,WIBB,N/A,0.695298,101.45464,179.0,924,3031.5,438,236.5,-21,-4133.8,Descending (Landing/Approach),0,0,N/A,1790305472,en-route
2026-09-25 10:05:29,QG885,CTV885,885,QG,CTV,N/A,PK-GQP,8A060D,ID,DTB,WIMN,N/A,CGK,WIII,N/A,1.447344,101.011991,135.6,10992,36063.0,809,436.8,10,1968.5,Climbing (Takeoff),0,0,N/A,1790305526,en-route
2026-09-25 10:05:29,IU957,SJV957,957,IU,SJV,N/A,PK-SJE,8A0908,ID,DTB,WIMN,N/A,CGK,WIII,N/A,0.16483,101.984346,128.2,11434,37513.1,814,439.5,0,0.0,Cruising,0,0,N/A,1790305526,en-route
2026-09-25 11:05:32,AK406,AXM406,406,AK,AXM,N/A,9M-AFD,750109,MY,KUL,WMKK,N/A,PDG,WIPT,N/A,0.306577,101.103571,206.6,10467,34340.6,858,463.3,0,0,Cruising,0,0,N/A,1790309125,en-route
2026-09-25 12:05:28,OD151,MXD151,151,OD,MXD,N/A,9M-LRJ,750423,MY,KUL,WMKK,N/A,PER,YPPH,N/A,-0.315962,102.297551,131.8,10771,35337.9,846,456.8,0,0.0,Cruising,0,0,N/A,1790312721,en-route
2026-09-25 12:05:28,JT206,LNI206,206,JT,LNI,N/A,PK-LRI,8A097C,ID,CGK,WIII,N/A,KNO,WIMM,N/A,0.47736,100.717577,319.4,11084,36364.8,886,478.4,0,0.0,Cruising,0,0,N/A,1790312723,en-route
2026-09-25 12:05:28,JT229,LNI229,229,JT,LNI,N/A,PK-LJG,8A02A5,ID,BTH,WIDD,N/A,PDG,WIPT,N/A,0.285037,101.675521,229.6,9148,30013.1,834,450.3,0,0.0,Cruising,0,0,N/A,1790312719,en-route
2026-09-25 12:05:28,JT390,LNI390,390,JT,LNI,N/A,PK-LSJ,8A082A,ID,CGK,WIII,N/A,PKU,WIBB,N/A,-0.348058,101.928867,315.9,4284,14055.1,642,346.7,-36,-7086.6,Descending (Landing/Approach),0,0,N/A,1790312719,en-route
2026-09-25 13:05:29,GA186,GIA186,186,GA,GIA,N/A,PK-GUG,8A0A53,ID,CGK,WIII,N/A,KNO,WIMM,N/A,-0.179725,101.322015,319.1,11724,38464.6,868,468.7,0,0.0,Cruising,0,0,N/A,1790316325,en-route
2026-09-25 13:05:29,6E1601,IGO1601,1601,6E,IGO,N/A,VT-IPF,80152F,IN,BOM,VABB,N/A,CGK,WIII,N/A,0.027128,101.467798,133.2,12059,39563.6,810,437.4,0,0.0,Cruising,0,0,N/A,1790316325,en-route
2026-09-25 13:05:29,IP322,PAS322,322,IP,PAS,N/A,PK-PWO,8A0A4A,ID,CGK,WIII,N/A,PKU,WIBB,N/A,-0.385066,102.089733,322.1,7990,26213.9,840,453.6,-34,-6692.9,Descending (Landing/Approach),0,0,N/A,1790316325,en-route
2026-09-25 13:05:29,AK347,AXM347,347,AK,AXM,N/A,9M-AFE,75010A,MY,YIA,WAHI,N/A,KUL,WMKK,N/A,0.377535,102.261481,340.1,12379,40613.5,834,450.3,0,0.0,Cruising,0,0,N/A,1790316325,en-route
2026-09-25 14:05:30,JT228,LNI228,228,JT,LNI,N/A,PK-LJG,8A02A5,ID,PDG,WIPT,N/A,BTH,WIDD,N/A,0.148744,101.749988,56.4,9461,31040.0,814,439.5,0,0.0,Cruising,0,0,N/A,1790319923,en-route
2026-09-25 14:05:30,SQ482,SIA482,482,SQ,SIA,N/A,9V-SMC,76CDA3,SG,SIN,WSSS,N/A,JNB,FAOR,N/A,0.434552,101.805839,223.2,8996,29514.4,920,496.8,11,2165.3,Climbing (Takeoff),0,0,N/A,1790319927,en-route
2026-09-25 15:05:32,ID6854,BTK6854,6854,ID,BTK,N/A,PK-BKL,8A093A,ID,CGK,WIII,N/A,PKU,WIBB,N/A,-0.529612,102.368604,315.8,9826,32237.5,883,476.8,-48,-9448.8,Descending (Landing/Approach),0,0,N/A,1790323529,en-route
2026-09-25 16:05:32,JT101,LNI101,101,JT,LNI,N/A,PK-LEU,8A08B2,ID,JED,OEJN,N/A,SUB,WARR,N/A,0.330978,100.791526,115.9,12051,39537.4,863,466.0,0,0.0,Cruising,0,0,N/A,1790327123,en-route
2026-09-25 16:05:32,JT237,LNI237,237,JT,LNI,N/A,PK-LJG,8A02A5,ID,BTH,WIDD,N/A,PKU,WIBB,N/A,0.637849,102.424076,271.6,4726,15505.2,656,354.2,-21,-4133.8,Descending (Landing/Approach),0,0,N/A,1790327125,en-route
2026-09-25 17:05:30,GA147,GIA147,147,GA,GIA,N/A,PK-GUF,8A0A43,ID,BTJ,WITT,N/A,CGK,WIII,N/A,1.121373,100.802228,128.9,12044,39514.4,807,435.7,0,0.0,Cruising,0,0,N/A,1790330729,en-route
2026-09-25 17:05:30,ID6898,BTK6898,6898,ID,BTK,N/A,PK-LAF,8A0490,ID,CGK,WIII,N/A,BTJ,WITT,N/A,0.557615,100.881433,316.6,11739,38513.8,868,468.7,0,0.0,Cruising,0,0,N/A,1790330729,en-route
2026-09-25 17:05:30,JT157,LNI157,157,JT,LNI,N/A,PK-LOP,8A0458,ID,KUL,WMKK,N/A,PDG,WIPT,N/A,0.710369,101.499603,192.6,9781,32089.9,839,453.0,0,0.0,Cruising,0,0,N/A,1790330729,en-route
2026-09-25 17:05:30,IP303,PAS303,303,IP,PAS,N/A,PK-PWG,8A0998,ID,KNO,WIMM,N/A,CGK,WIII,N/A,0.749757,101.680563,135.2,11404,37414.7,831,448.7,0,0.0,Cruising,0,0,N/A,1790330729,en-route
2026-09-25 17:05:30,IP306,PAS306,306,IP,PAS,N/A,PK-PWN,8A0A44,ID,CGK,WIII,N/A,KNO,WIMM,N/A,-0.415091,101.937819,327.7,12387,40639.8,843,455.2,0,0.0,Cruising,0,0,N/A,1790330729,en-route
2026-09-25 17:05:30,IP324,PAS324,324,IP,PAS,N/A,PK-PWQ,8A0A8A,ID,CGK,WIII,N/A,PKU,WIBB,N/A,0.365631,101.764346,325.1,2943,9655.5,548,295.9,-23,-4527.6,Descending (Landing/Approach),0,0,N/A,1790330729,en-route
2026-09-25 18:05:31,JT300,LNI300,300,JT,LNI,N/A,PK-LRF,8A097B,ID,CGK,WIII,N/A,KNO,WIMM,N/A,0.165175,101.227318,324.2,11076,36338.6,874,471.9,0,0.0,Cruising,0,0,N/A,1790334326,en-route
2026-09-25 18:05:31,GA190,GIA190,190,GA,GIA,N/A,PK-GDC,8A0A73,ID,CGK,WIII,N/A,KNO,WIMM,N/A,-0.068465,101.295685,317.8,10436,34238.8,858,463.3,0,0.0,Cruising,0,0,N/A,1790334318,en-route
2026-09-25 18:05:31,JT309,LNI309,309,JT,LNI,N/A,PK-LKH,8A0311,ID,KNO,WIMM,N/A,CGK,WIII,N/A,1.296374,101.316498,138.0,10756,35288.7,833,449.8,0,0.0,Cruising,0,0,N/A,1790334326,en-route
2026-09-25 18:05:31,GA121,GIA121,121,GA,GIA,N/A,PK-GMX,8A02D6,ID,KNO,WIMM,N/A,CGK,WIII,N/A,0.894673,101.909806,141.6,11419,37463.9,817,441.1,0,0.0,Cruising,0,0,N/A,1790334326,en-route
2026-09-25 18:05:31,GA179,GIA179,179,GA,GIA,N/A,PK-GNH,8A0449,ID,PKU,WIBB,N/A,CGK,WIII,N/A,0.058355,101.980699,125.3,5544,18189.0,693,374.2,38,7480.3,Climbing (Takeoff),0,0,N/A,1790334326,en-route
2026-09-25 18:05:31,JT977,LNI977,977,JT,LNI,N/A,PK-LHQ,8A026A,ID,KNO,WIMM,N/A,BTH,WIDD,N/A,1.374122,102.197446,112.2,10764,35315.0,810,437.4,-7,-1378.0,Descending (Landing/Approach),0,0,N/A,1790334326,en-route
2026-09-25 18:05:31,SQ421,SIA421,421,SQ,SIA,N/A,9V-SDA,76CC81,SG,BOM,VABB,N/A,SIN,WSSS,N/A,1.425833,102.438447,121.6,11427,37490.2,897,484.3,-32,-6299.2,Descending (Landing/Approach),0,0,N/A,1790334326,en-route
2026-09-25 18:05:31,QG32,CTV32,32,QG,CTV,N/A,PK-GQS,8A061D,ID,HLP,WIHH,N/A,PKU,WIBB,N/A,0.051426,101.670821,329.0,4582,15032.8,646,348.8,-40,-7874.0,Descending (Landing/Approach),0,0,N/A,1790334318,en-route
2026-09-25 19:05:31,AK349,AXM349,349,AK,AXM,N/A,9M-AGN,750458,MY,YIA,WAHI,N/A,KUL,WMKK,N/A,0.133948,102.218213,343.3,12364,40564.3,798,430.9,0,0,Cruising,0,0,N/A,1790337923,en-route
2026-09-25 19:05:31,SQ431,SIA431,431,SQ,SIA,N/A,9V-SMS,76CDB3,SG,MLE,VRMM,N/A,SIN,WSSS,N/A,0.622422,101.017164,87.4,13294,43615.5,823,444.4,0,0,Cruising,0,0,N/A,1790337923,en-route
2026-09-25 19:05:31,ID6887,BTK6887,6887,ID,BTK,N/A,PK-LAO,8A0517,ID,KNO,WIMM,N/A,CGK,WIII,N/A,0.38048,102.188598,138.1,11442,37539.4,826,446.0,0,0,Cruising,0,0,N/A,1790337923,en-route
